City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Imeni Poliny Osipenko,RU,2021-04-09 04:47:55,52.4201,136.4853,38.53,46,11,2.98
60,East London,ZA,2021-04-09 04:47:55,-33.0153,27.9116,62.6,94,0,6.91
61,Tasiilaq,GL,2021-04-09 04:47:56,65.6145,-37.6368,15.8,73,20,2.3
62,Kavieng,PG,2021-04-09 04:47:56,-2.5744,150.7967,81.37,77,99,15.61
63,Saldanha,ZA,2021-04-09 04:47:57,-33.0117,17.9442,59.0,88,100,5.75
64,Dikson,RU,2021-04-09 04:47:57,73.5069,80.5464,11.23,70,100,14.56
65,Hithadhoo,MV,2021-04-09 04:47:57,-0.6,73.0833,82.54,66,9,10.02
66,Cape Town,ZA,2021-04-09 04:45:07,-33.9258,18.4232,64.0,82,0,13.8
67,Victoria,HK,2021-04-09 04:46:27,22.2855,114.1577,70.0,80,100,5.01
68,Bengkulu,ID,2021-04-09 04:47:58,-3.8004,102.2655,85.53,65,30,10.87
69,Husavik,IS,2021-04-09 04:47:58,66.0449,-17.3389,23.0,54,20,6.91
70,Tuktoyaktuk,CA,2021-04-09 04:47:59,69.4541,-133.0374,-7.6,77,90,17.27
71,San Policarpo,PH,2021-04-09 04:47:59,12.1791,125.5072,82.51,66,100,9.31
72,Aden,YE,2021-04-09 04:47:38,12.7794,45.0367,82.04,56,4,11.79
73,College,US,2021-04-09 04:48:00,64.8569,-147.8028,3.2,55,75,13.8
74,Black Forest,US,2021-04-09 04:48:00,39.0131,-104.7008,50.0,29,1,5.75
75,Manadhoo,MV,2021-04-09 04:48:00,5.7667,73.3833,82.81,72,19,9.42
76,Payakumbuh,ID,2021-04-09 04:48:01,-0.2202,100.6308,89.35,47,88,3.44
77,Myaundzha,RU,2021-04-09 04:48:01,63.0494,147.1858,16.47,68,68,4.09
78,Vao,NC,2021-04-09 04:48:01,-22.6667,167.4833,75.34,89,100,22.55
79,Nanortalik,GL,2021-04-09 04:48:02,60.1432,-45.2371,35.15,81,100,10.67
80,Norman Wells,CA,2021-04-09 04:48:02,65.282,-126.8329,10.4,52,75,8.05
81,Balkanabat,TM,2021-04-09 04:48:03,39.5108,54.3671,82.76,17,0,11.77
82,Hofn,IS,2021-04-09 04:48:03,64.2539,-15.2082,25.56,52,100,14.65
83,Iracoubo,GF,2021-04-09 04:48:03,5.4802,-53.2011,75.4,90,97,6.11
