City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Mandalgovi,MN,45.7625,106.2708,44.44,20,0,12.53,clear sky
331,Rock Sound,BS,24.9,-76.2,75.58,71,0,8.16,clear sky
332,Port Lincoln,AU,-34.7333,135.8667,64.4,49,7,5.44,clear sky
333,Abashiri,JP,44.0213,144.2697,59.0,47,75,29.93,dust
334,San Pedro,PH,14.35,121.0167,89.01,62,90,5.75,overcast clouds
335,Tuatapere,NZ,-46.1333,167.6833,55.99,60,94,5.99,overcast clouds
336,Saldanha,ZA,-33.0117,17.9442,62.6,55,0,3.44,clear sky
337,Saint-Francois,FR,46.4154,3.9054,32.0,80,0,4.61,clear sky
338,Neyshabur,IR,36.2133,58.7958,56.26,49,11,2.46,few clouds
339,Makakilo City,US,21.3469,-158.0858,78.8,57,90,8.05,overcast clouds
340,Kasongo,CD,-4.45,26.6667,65.44,95,71,2.98,broken clouds
341,Santa Cruz,BO,-17.8,-63.1667,73.53,76,0,4.74,clear sky
342,Zhucheng,CN,35.9947,119.3975,56.98,17,0,18.66,clear sky
343,Avera,US,33.194,-82.5271,55.99,76,1,4.03,clear sky
344,Oranjemund,NA,-28.55,16.4333,74.7,41,94,4.25,overcast clouds
345,San Ramon,US,37.7799,-121.978,66.99,39,1,13.8,clear sky
346,Okhotsk,RU,59.3833,143.3,26.26,88,76,9.64,broken clouds
347,Kisangani,CD,0.5167,25.2,71.44,92,100,1.39,overcast clouds
348,Peniche,PT,39.3558,-9.3811,54.0,91,97,5.57,overcast clouds
349,San Cristobal,VE,7.7669,-72.225,84.2,61,40,6.91,scattered clouds
350,Abasha,GE,42.2096,42.2211,51.8,93,90,5.75,overcast clouds
351,Lake Cowichan,CA,48.825,-124.0546,69.8,37,1,5.75,clear sky
352,Lazo,RU,43.3817,133.9014,56.57,31,15,2.13,few clouds
353,Areia Branca,BR,-4.9561,-37.1369,78.42,79,78,13.67,broken clouds
354,Ola,RU,59.5833,151.2833,23.67,84,100,6.71,overcast clouds
355,General Roca,AR,-39.0333,-67.5833,50.0,71,0,6.15,clear sky
356,Chimbote,PE,-9.0853,-78.5783,66.45,87,100,5.77,overcast clouds
357,Marsassoum,SN,12.8275,-15.9806,75.2,78,0,2.3,clear sky
358,Berlevag,NO,70.8578,29.0864,39.52,87,100,34.31,light rain
359,Kanye,BW,-24.9667,25.3327,55.18,90,0,11.61,clear sky
360,Sur,OM,22.5667,59.5289,83.41,44,84,4.59,broken clouds
361,La Ronge,CA,55.1001,-105.2842,46.4,39,67,2.3,broken clouds
362,Kelso,US,46.1468,-122.9084,78.8,19,1,5.75,clear sky
363,Alice,US,27.7523,-98.0697,80.6,83,90,9.22,overcast clouds
364,Pathein,MM,16.7833,94.7333,82.65,57,18,0.74,few clouds
365,Saint-Pierre,RE,-21.3393,55.4781,77.0,83,0,4.61,clear sky
366,Ambilobe,MG,-13.2,49.05,72.95,95,21,2.73,few clouds
367,Meulaboh,ID,4.1363,96.1285,78.89,79,100,2.13,overcast clouds
368,Krasnoselkup,RU,65.7,82.4667,7.95,92,100,13.44,light snow
369,Tiksi,RU,71.6872,128.8694,4.73,97,100,10.94,overcast clouds
370,Talas,TR,38.6908,35.5538,44.6,87,40,1.14,scattered clouds
371,Aykhal,RU,66.0,111.5,6.03,92,100,20.07,overcast clouds
372,Dawlatabad,AF,36.4141,64.9053,62.2,32,3,2.24,clear sky
373,Barraute,CA,48.4335,-77.6328,44.6,70,75,11.5,broken clouds
374,Roebourne,AU,-20.7833,117.1333,88.66,33,0,18.5,clear sky
375,Mokhsogollokh,RU,61.4681,128.9203,37.47,93,100,10.04,light rain
376,Concarneau,FR,47.875,-3.9225,37.4,87,0,4.61,clear sky
377,Raton,US,36.9034,-104.4391,30.99,86,90,6.91,light snow
378,Barra Velha,BR,-26.6322,-48.6847,73.4,88,40,3.44,scattered clouds
379,Etchojoa,MX,26.9167,-109.6333,80.01,44,97,6.55,overcast clouds
380,Cayenne,GF,4.9333,-52.3333,81.0,78,75,4.61,broken clouds
381,Imbituba,BR,-28.24,-48.6703,73.4,83,75,4.61,broken clouds
382,Kawalu,ID,-7.3817,108.2082,81.36,69,83,3.78,broken clouds
383,Vila Velha,BR,-20.3297,-40.2925,69.8,94,75,3.44,broken clouds
